feature,group1,group2,U_stat,p_value,significant_bonferroni
lumen_frac,G3,G4,162899.5,0.0043882599440580065,False
lumen_frac,G3,G5,260902.5,2.1059057524563075e-41,True
lumen_frac,G4,G5,274154.5,1.8916378212388385e-55,True
nuclei_frac,G3,G4,179502.5,0.9340114851114969,False
nuclei_frac,G3,G5,90760.5,5.399915866670759e-50,True
nuclei_frac,G4,G5,107670.5,1.9438768214175657e-33,True
epithelial_frac,G3,G4,135932.0,2.1117317239815446e-13,True
epithelial_frac,G3,G5,100237.0,2.7096515911075138e-40,True
epithelial_frac,G4,G5,145200.5,6.734348267773306e-09,True
stroma_frac,G3,G4,216389.5,1.3418186123547485e-09,True
stroma_frac,G3,G5,210959.0,2.501330111510364e-07,True
stroma_frac,G4,G5,170356.0,0.10814635578321388,False
epi_stroma_ratio,G3,G4,129519.0,4.1031402528764874e-17,True
epi_stroma_ratio,G3,G5,108331.0,7.342053934217106e-33,True
epi_stroma_ratio,G4,G5,164878.0,0.011762164062114586,False
crowding_index,G3,G4,174772.0,0.38381574320156786,False
crowding_index,G3,G5,100160.0,2.282636336541764e-40,True
crowding_index,G4,G5,127774.0,3.300598263347269e-18,True
texture_entropy,G3,G4,239530.0,3.495661442311982e-23,True
texture_entropy,G3,G5,158905.0,0.0004409377619500887,True
texture_entropy,G4,G5,117272.0,1.4617034803178712e-25,True
glcm_energy,G3,G4,150457.0,8.579578560218565e-07,True
glcm_energy,G3,G5,209858.0,6.552512883454756e-07,True
glcm_energy,G4,G5,230574.0,3.5949900368434346e-17,True
glcm_contrast,G3,G4,129040.5,2.0729554396677377e-17,True
glcm_contrast,G3,G5,89489.5,2.2356484225427337e-51,True
glcm_contrast,G4,G5,144090.0,2.198402693469178e-09,True
glcm_homogeneity,G3,G4,218260.0,1.8424701443176533e-10,True
glcm_homogeneity,G3,G5,279646.0,6.8919838007615756e-62,True
glcm_homogeneity,G4,G5,228463.0,6.8188154625574e-16,True
glcm_correlation,G3,G4,276142.0,9.736863606958064e-58,True
glcm_correlation,G3,G5,271302.0,3.0086456900593077e-52,True
glcm_correlation,G4,G5,166351.0,0.022977847069715437,False
sai,G3,G4,168723.0,0.06029447639207375,False
sai,G3,G5,275074.0,1.6750239219712314e-56,True
sai,G4,G5,274197.0,1.6920328307468865e-55,True
