epoch,train_loss,val_loss,val_acc,val_f1,lr
1,1.42737,0.97651,0.76757,0.75736,6e-05
2,0.65514,0.35691,0.87928,0.87207,0.00012
3,0.37192,0.28057,0.8991,0.89244,0.00018
4,0.32395,0.28121,0.9027,0.89677,0.00024
5,0.26948,0.3365,0.90631,0.89878,0.0003
6,0.25496,0.21554,0.92793,0.92594,0.00029976
7,0.22192,0.26073,0.9045,0.89863,0.00029902
8,0.22207,0.37161,0.88288,0.87889,0.0002978
9,0.17542,0.21396,0.93694,0.93753,0.0002961
10,0.18299,0.19039,0.92613,0.92613,0.00029392
11,0.15878,0.21524,0.92613,0.92297,0.00029128
12,0.15763,0.19128,0.93153,0.92861,0.00028817
13,0.11696,0.24925,0.92432,0.92197,0.00028461
14,0.13186,0.1871,0.93153,0.92823,0.00028061
15,0.09754,0.23502,0.94054,0.93788,0.00027619
16,0.10546,0.19928,0.93514,0.93382,0.00027135
17,0.08846,0.1829,0.94234,0.94227,0.00026612
18,0.10357,0.21907,0.92793,0.92393,0.00026051
19,0.06455,0.29923,0.91712,0.9137,0.00025454
20,0.06817,0.21665,0.95135,0.94838,0.00024823
21,0.06721,0.20463,0.95856,0.95679,0.0002416
22,0.06886,0.23952,0.93874,0.93667,0.00023467
23,0.04975,0.24298,0.93874,0.9363,0.00022746
24,0.05689,0.23359,0.94775,0.94481,0.00022
25,0.04555,0.26812,0.92432,0.92131,0.00021231
26,0.04137,0.2632,0.94414,0.94127,0.00020442
27,0.0389,0.33497,0.90811,0.90502,0.00019635
28,0.02923,0.25137,0.93694,0.93459,0.00018813
29,0.04633,0.22569,0.94595,0.9461,0.00017979
30,0.03106,0.25483,0.94775,0.94732,0.00017135
31,0.02739,0.26691,0.93514,0.93252,0.00016284
32,0.02561,0.24669,0.94955,0.94976,0.00015428
33,0.02597,0.22874,0.95315,0.95109,0.00014572
